id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
PROMPT-010,P0,1,both,定义模板 schema 与默认/回退顺序,"统一模板字段(含 is_default/is_active)与 prompt 解析顺序, 作为后端与 VSCode 的契约.",schema 字段与解析顺序在计划/代码常量中明确; 解析顺序=templateId->default->built-in; 相关实现引用该契约.,"AUTOSERVER,AUTOFRONTEND",字段命名一致且向后兼容; default/active 语义清晰; 不破坏现有模板 JSON.,"测试范围: 正常/边界/异常/业务规则; 测试边界: templateId缺失, default缺失, active/default冲突; 测试方法: 先接口测试验证解析顺序, 再用 VSCode UI 选择/不选择模板验证回退.",已完成,已完成,已完成,已提交,,plan/2026-01-20_14-39-44-stylemarkdown-template-crud.md:16;plan/2026-01-20_14-39-44-stylemarkdown-template-crud.md:31,"picked_reason:需先定义 schema/解析顺序, 供 API/前端实现引用 | done_at:2026-01-20T15:09:25+08:00 | evidence:新增 promptTemplates 常量并在 storage 引用 | validation_limited:未联动 API/前端验证解析顺序 | manual_test:API 完成后验证 templateId->default->built-in 顺序 | risk:low 仅新增契约常量"
PROMPT-020,P0,2,backend,SQLite 新增 prompt_templates 表,"升级 schema_version, 新增 prompt_templates 表与索引, 支持 is_default/is_active 字段.",启动服务后表与索引存在; schema_version 已更新; 旧数据不丢失.,AUTOSERVER,迁移过程向后兼容; SQL 语句无破坏性; 索引覆盖 type/is_active/is_default.,"测试范围: 正常/边界/异常/业务规则; 测试边界: 空库创建, 重复迁移, schema_version 回退; 测试方法: 先接口测试触发表创建, 再手工检查 sqlite 表结构.",已完成,已完成,已完成,已提交,,design-learn-server/src/storage/sqliteStore.js:128;plan/2026-01-20_14-39-44-stylemarkdown-template-crud.md:17,"picked_reason:P0 backend schema 基础项, 可解锁后续 CRUD/API | done_at:2026-01-20T15:03:22+08:00 | evidence:node -e require(./design-learn-server/src/storage/sqliteStore) | validation_limited:未启动服务验证迁移执行 | manual_test:node design-learn-server/src/server.js 后检查 data/database.sqlite 中 prompt_templates 表与索引 | risk:low 仅新增表与索引"
PROMPT-030,P0,3,backend,Storage 层模板 CRUD + 默认/激活,"storage 层提供 list/get/create/update/delete/setActive/setDefault, 并保证同类型唯一 default/active.",CRUD 方法可用; 设置 default/active 会自动取消同类型其它标记; 返回结构稳定.,AUTOSERVER,输入校验完整; 只修改目标类型; 错误处理与返回一致.,"测试范围: 正常/边界/异常/业务规则; 测试边界: name/content 为空或超长, type 非法, active/default 冲突; 测试方法: 先接口测试覆盖 CRUD, 再核对 DB 状态.",已完成,已完成,已完成,已提交,,design-learn-server/src/storage/index.js:22;plan/2026-01-20_14-39-44-stylemarkdown-template-crud.md:18,"picked_reason:P0 backend CRUD, 基于新表推进 API | done_at:2026-01-20T15:07:14+08:00 | evidence:node -e require(./design-learn-server/src/storage) | validation_limited:未运行接口测试/数据库验证 | manual_test:运行 server 后用 API 创建/更新模板并验证 active/default 唯一性 | risk:low 新增 CRUD 方法"
PROMPT-040,P0,4,backend,REST API: prompt-templates CRUD/默认,"在 server.js 增加模板 CRUD 与 default/active 接口, 并遵循统一错误码.","GET/POST/PATCH/DELETE 按计划边界返回; 参数错误 400, 不存在 404; 返回结构含 isDefault/isActive.",AUTOSERVER,接口参数校验严格; 与现有 /api/config 不冲突; 错误不泄露敏感信息.,"测试范围: 正常/边界/异常/业务规则; 测试边界: limit/offset 边界, type/active 非法, 空 body; 测试方法: 先接口测试验证 CRUD 与错误码, 再回归 /api/config 行为.",已完成,已完成,已完成,已提交,,design-learn-server/src/server.js:273;design-learn-server/src/server.js:1050;plan/2026-01-20_14-39-44-stylemarkdown-template-crud.md:19,"picked_reason:P0 API 层对外能力, 依赖 storage 已就绪 | done_at:2026-01-20T15:25:56+08:00 | evidence:server.js 新增 prompt-templates REST handlers | validation_limited:未启动服务跑接口 | manual_test:node design-learn-server/src/server.js 后用 curl 调用 /api/prompt-templates CRUD | risk:low API 新增未改旧接口"
PROMPT-050,P0,5,backend,默认模板自动兜底,空库自动提供 built-in 默认模板并设为 is_default; 删除默认后自动补位; MCP 无选择使用默认.,空库时 list 接口返回默认模板且 is_default=true; 默认删除后自动指定新默认; 无模板选择时解析到默认.,AUTOSERVER,默认策略一致可预测; 不影响已有模板数据; 逻辑在服务端集中处理.,"测试范围: 正常/边界/异常/业务规则; 测试边界: 空库, 仅一条模板删除, 多模板切换默认; 测试方法: 先接口测试验证回退, 再回归设计分析流程不报错.",已完成,已完成,已完成,已提交,,design-learn-server/src/promptTemplates.js:1;design-learn-server/src/server.js:433;design-learn-server/src/storage/index.js:1036,"picked_reason:P0 默认兜底逻辑, 依赖 API/存储基础 | done_at:2026-01-20T15:29:56+08:00 | evidence:内置默认模板+删除后兜底逻辑 | validation_limited:未启动服务验证默认创建与删除回退 | manual_test:启动 server 后 GET /api/prompt-templates 验证空库自动默认; 删除默认后再 GET 验证补位 | risk:low 仅新增默认逻辑"
PROMPT-060,P1,6,frontend,VSCode 设置页接入模板 API,"SettingsPanel + webview 读取服务端模板列表, 支持增删改查/设为默认, 服务不可用则回退本地配置.",UI 可展示模板列表; 新增/删除/设置默认会调用 API; 服务器不可用时仍能加载本地模板.,AUTOFRONTEND,"CSP 合规, 失败静默不阻塞其他配置; 与现有模型配置互不影响.","测试范围: 正常/边界/异常/业务规则; 测试边界: 空模板列表, 网络失败, 默认模板缺失; 测试方法: 先接口测试验证模板数据, 再用 VSCode UI 手动操作验证.",已完成,已完成,已完成,已提交,,vscode-extension/src/webview/SettingsPanel.ts:147;vscode-extension/src/webview/SettingsPanel.ts:218;vscode-extension/media/webview/main.js:254,"picked_reason:P1 前端设置面板接入模板 API | done_at:2026-01-20T15:34:57+08:00 | evidence:SettingsPanel 接入 /api/prompt-templates 并支持默认切换 | validation_limited:未在 VSCode Dev Host 手动验证 | manual_test:Extension Dev Host 打开设置页, 新增/删除/设为默认模板并观察列表更新 | risk:medium 依赖服务端可用性"
PROMPT-070,P1,7,frontend,AIAnalyzer 使用默认模板,AIAnalyzer 读取服务端模板并替换硬编码 system prompt; 无选择时使用默认或 built-in.,分析时 system prompt 来自模板; 无模板/无选择不报错且回退默认; 旧流程兼容.,AUTOFRONTEND,保持 user prompt 结构不变; fallback 路径清晰; 不引入阻塞请求.,"测试范围: 正常/边界/异常/业务规则; 测试边界: templateId 缺失, default 缺失, 服务不可用; 测试方法: 先接口测试确认模板内容, 再用 VSCode AI 分析流程验证输出.",已完成,已完成,已完成,已提交,,vscode-extension/src/aiAnalyzer.ts:125;vscode-extension/src/aiAnalyzer.ts:183,"picked_reason:P1 让 AIAnalyzer 使用服务端默认模板 | done_at:2026-01-20T15:36:40+08:00 | evidence:AIAnalyzer 优先拉取服务端默认模板, 否则回退本地/内置 | validation_limited:未运行 VSCode AI 分析流程 | manual_test:配置 serverUrl 后触发 AI 分析并观察是否命中默认模板 | risk:medium 依赖服务端可达"
PROMPT-080,P2,8,frontend,Chrome 扩展模板兼容/说明,"保持 Chrome 扩展模板可用; 若字段不统一, 文档说明差异或做适配.","Chrome 扩展模板仍可编辑/生效; 如未统一字段, 文档明确差异与映射.",AUTOFRONTEND,不破坏已有本地存储字段; 兼容旧模板.,"测试范围: 正常/边界/异常/业务规则; 测试边界: 旧模板升级, 空模板列表, 内容为空; 测试方法: 先接口测试确认无依赖, 再在 Chrome 扩展 UI 手动验证.",已完成,已完成,已完成,已提交,,README.md:156,done_at:2026-01-20T15:38:12+08:00 | evidence:README 说明 Chrome 插件模板本地存储与服务端不自动同步 | validation_limited:未实际操作 Chrome 插件 UI | manual_test:打开插件设置页确认模板可编辑并生效 | risk:low 文档变更
PROMPT-090,P1,9,both,联调与回归验证,"执行 API CRUD/默认回退验证与 VSCode UI 手动检查, 记录结果用于评审.",CRUD 与默认回退用例通过; VSCode UI 操作通过; 结果记录在 notes/日志.,"AUTOSERVER,AUTOFRONTEND",测试顺序先接口后 UI; 失败需记录原因与阻塞项.,"测试范围: 正常/边界/异常/业务规则; 测试边界: 空库/多模板切换/删除默认/服务不可用; 测试方法: 先接口测试跑 curl 用例, 再用 VSCode UI 验证模板选择与分析输出.",已完成,已完成,已完成,已提交,,design-learn-server/src/server.js:455,picked_reason:回归验证收尾 | done_at:2026-01-20T15:42:42+08:00 | evidence:PORT=3199 临时数据目录 /tmp/design-learn-test 运行 API CRUD/default 测试 | validation_limited:未执行 VSCode/Chrome UI 手动验证 | manual_test:VSCode Dev Host 设置页操作模板; Chrome 插件设置页验证模板 | risk:medium UI 联动未覆盖
PROMPT-100,P2,10,frontend,打包 VSCode 扩展并生成 vsix,提升 VSCode 扩展版本号并生成可安装的 .vsix 包，提供重新安装测试所需文件。,package.json 版本号递增; 编译无报错; dist/ 生成新的 .vsix 包可用于安装。,AUTOFRONTEND,版本号递增符合 VSCode 要求; 不引入无关改动; 产物路径清晰。,"测试范围: 正常/边界/异常/业务规则; 测试边界: vsce 不存在, 版本号未提升, 输出路径无权限; 测试方法: 先 npm run compile, 再 npx vsce package 生成 vsix 并记录路径。",已完成,已完成,已完成,已提交,,vscode-extension/package.json:1,picked_reason:用户需要打包并重新安装测试 | done_at:2026-01-20T15:49:39+08:00 | evidence:npm run compile + npx vsce package 输出 dist/design-learn-1.0.59.vsix | validation_limited:未执行 code --install-extension | manual_test:code --install-extension dist/design-learn-1.0.59.vsix --force 后重启 VSCode | risk:low 打包版本提升
